0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;2;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;0;0;0;1;1;1;1;1;1;1;2;1;1;
0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;
0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;
1;1;2;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;
0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;
0;0;0;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
# Vide = 0
# Brique = 1
# Echelle = 2
# Barre = 3
# Beton = 4
# Lode Runner = 5
